cc_num,trans_date_trans_time,amt,category,merchant
900000000001,2020-02-20 08:15:00,336.39,travel,merchant_alto_valor_01
900000000001,2020-02-22 15:26:13,97.25,shopping_pos,merchant_alto_valor_02
900000000001,2020-02-25 08:37:26,116.75,shopping_net,merchant_alto_valor_03
900000000001,2020-02-27 15:48:39,133.23,entertainment,merchant_alto_valor_04
900000000001,2020-03-01 08:59:52,155.36,food_dining,merchant_alto_valor_05
900000000001,2020-03-03 15:25:05,171.77,gas_transport,merchant_alto_valor_06
900000000001,2020-03-05 08:36:18,100.92,grocery_pos,merchant_alto_valor_07
900000000001,2020-03-08 15:47:31,109.87,misc_pos,merchant_alto_valor_08
900000000001,2020-03-10 08:58:44,130.22,travel,merchant_alto_valor_09
900000000001,2020-03-12 15:24:57,143.30,shopping_pos,merchant_alto_valor_10
900000000001,2020-03-15 08:35:10,502.19,shopping_net,merchant_alto_valor_11
900000000001,2020-03-17 15:46:23,92.05,entertainment,merchant_alto_valor_12
900000000001,2020-03-20 08:57:36,104.27,food_dining,merchant_alto_valor_13
900000000001,2020-03-22 15:23:49,122.99,gas_transport,merchant_alto_valor_14
900000000001,2020-03-24 08:34:02,144.50,grocery_pos,merchant_alto_valor_15
900000000001,2020-03-27 15:45:15,160.45,misc_pos,merchant_alto_valor_16
900000000001,2020-03-29 08:56:28,84.20,travel,merchant_alto_valor_17
900000000001,2020-04-01 15:22:41,104.89,shopping_pos,merchant_alto_valor_18
900000000001,2020-04-03 08:33:54,124.09,shopping_net,merchant_alto_valor_01
900000000001,2020-04-05 15:44:07,133.06,entertainment,merchant_alto_valor_02
900000000001,2020-04-08 08:55:20,588.06,food_dining,merchant_alto_valor_03
900000000001,2020-04-10 15:21:33,173.98,gas_transport,merchant_alto_valor_04
900000000001,2020-04-12 08:32:46,97.40,grocery_pos,merchant_alto_valor_05
900000000001,2020-04-15 15:43:59,112.55,misc_pos,merchant_alto_valor_06
900000000001,2020-04-17 08:54:12,137.57,travel,merchant_alto_valor_07
900000000001,2020-04-20 15:20:25,148.37,shopping_pos,merchant_alto_valor_08
900000000001,2020-04-22 08:31:38,162.93,shopping_net,merchant_alto_valor_09
900000000001,2020-04-24 15:42:51,89.97,entertainment,merchant_alto_valor_10
900000000001,2020-04-27 08:53:04,114.47,food_dining,merchant_alto_valor_11
900000000001,2020-04-29 15:19:17,129.04,gas_transport,merchant_alto_valor_12
900000000001,2020-05-02 08:30:30,668.07,grocery_pos,merchant_alto_valor_13
900000000001,2020-05-04 15:41:43,164.30,misc_pos,merchant_alto_valor_14
900000000001,2020-05-06 08:52:56,89.36,travel,merchant_alto_valor_15
900000000001,2020-05-09 15:18:09,110.73,shopping_pos,merchant_alto_valor_16
900000000001,2020-05-11 08:29:22,121.79,shopping_net,merchant_alto_valor_17
900000000001,2020-05-14 15:40:35,140.52,entertainment,merchant_alto_valor_18
900000000001,2020-05-16 08:51:48,160.29,food_dining,merchant_alto_valor_01
900000000001,2020-05-18 15:17:01,175.19,gas_transport,merchant_alto_valor_02
900000000001,2020-05-21 08:28:14,104.62,grocery_pos,merchant_alto_valor_03
900000000001,2020-05-23 15:39:27,118.77,misc_pos,merchant_alto_valor_04
900000000001,2020-05-25 08:50:40,747.05,travel,merchant_alto_valor_05
900000000001,2020-05-28 15:16:53,147.46,shopping_pos,merchant_alto_valor_06
900000000001,2020-05-30 08:27:06,166.28,shopping_net,merchant_alto_valor_07
900000000001,2020-06-02 15:38:19,93.89,entertainment,merchant_alto_valor_08
900000000001,2020-06-04 08:49:32,108.80,food_dining,merchant_alto_valor_09
900000000002,2020-05-01 08:15:00,15.33,grocery_pos,merchant_insuficiente_01
900000000002,2020-05-02 15:26:13,31.01,gas_transport,merchant_insuficiente_02
900000000002,2020-05-03 08:37:26,49.78,misc_pos,merchant_insuficiente_03
900000000002,2020-05-03 15:48:39,35.36,food_dining,merchant_insuficiente_04
900000000002,2020-05-04 08:59:52,49.65,grocery_pos,merchant_insuficiente_05
900000000002,2020-05-05 15:25:05,31.70,gas_transport,merchant_insuficiente_06
900000000002,2020-05-06 08:36:18,47.10,misc_pos,merchant_insuficiente_07
900000000002,2020-05-07 08:58:44,53.37,grocery_pos,merchant_insuficiente_09
900000000002,2020-05-07 15:47:31,29.67,food_dining,merchant_insuficiente_08
