cc_num,trans_date_trans_time,amt,category,merchant
CLIENTE_EJEMPLO,2020-01-01 09:30:00,75.0,grocery_pos,Comercio_01
CLIENTE_EJEMPLO,2020-01-04 11:30:00,53.5,shopping_pos,Comercio_02
CLIENTE_EJEMPLO,2020-01-07 13:30:00,72.0,gas_transport,Comercio_03
CLIENTE_EJEMPLO,2020-01-10 15:30:00,90.5,food_dining,Comercio_04
CLIENTE_EJEMPLO,2020-01-13 17:30:00,109.0,home,Comercio_05
CLIENTE_EJEMPLO,2020-01-16 09:30:00,127.5,entertainment,Comercio_06
CLIENTE_EJEMPLO,2020-01-19 11:30:00,146.0,grocery_pos,Comercio_07
CLIENTE_EJEMPLO,2020-01-22 13:30:00,35.0,shopping_pos,Comercio_08
CLIENTE_EJEMPLO,2020-01-25 15:30:00,53.5,gas_transport,Comercio_09
CLIENTE_EJEMPLO,2020-01-28 17:30:00,112.0,food_dining,Comercio_10
CLIENTE_EJEMPLO,2020-01-31 09:30:00,90.5,home,Comercio_11
CLIENTE_EJEMPLO,2020-02-03 11:30:00,109.0,entertainment,Comercio_12
CLIENTE_EJEMPLO,2020-02-06 13:30:00,127.5,grocery_pos,Comercio_01
CLIENTE_EJEMPLO,2020-02-09 15:30:00,146.0,shopping_pos,Comercio_02
CLIENTE_EJEMPLO,2020-02-12 17:30:00,35.0,gas_transport,Comercio_03
CLIENTE_EJEMPLO,2020-02-15 09:30:00,53.5,food_dining,Comercio_04
CLIENTE_EJEMPLO,2020-02-18 11:30:00,72.0,home,Comercio_05
CLIENTE_EJEMPLO,2020-02-21 13:30:00,90.5,entertainment,Comercio_06
CLIENTE_EJEMPLO,2020-02-24 15:30:00,149.0,grocery_pos,Comercio_07
CLIENTE_EJEMPLO,2020-02-27 17:30:00,127.5,shopping_pos,Comercio_08
CLIENTE_EJEMPLO,2020-03-01 09:30:00,146.0,gas_transport,Comercio_09
CLIENTE_EJEMPLO,2020-03-04 11:30:00,35.0,food_dining,Comercio_10
CLIENTE_EJEMPLO,2020-03-07 13:30:00,53.5,home,Comercio_11
CLIENTE_EJEMPLO,2020-03-10 15:30:00,72.0,entertainment,Comercio_12
CLIENTE_EJEMPLO,2020-03-13 17:30:00,90.5,grocery_pos,Comercio_01
CLIENTE_EJEMPLO,2020-03-16 09:30:00,109.0,shopping_pos,Comercio_02
CLIENTE_EJEMPLO,2020-03-19 11:30:00,127.5,gas_transport,Comercio_03
CLIENTE_EJEMPLO,2020-03-22 13:30:00,186.0,food_dining,Comercio_04
CLIENTE_EJEMPLO,2020-03-25 15:30:00,35.0,home,Comercio_05
CLIENTE_EJEMPLO,2020-03-28 17:30:00,53.5,entertainment,Comercio_06
CLIENTE_EJEMPLO,2020-03-31 09:30:00,72.0,grocery_pos,Comercio_07
CLIENTE_EJEMPLO,2020-04-03 11:30:00,90.5,shopping_pos,Comercio_08
CLIENTE_EJEMPLO,2020-04-06 13:30:00,109.0,gas_transport,Comercio_09
CLIENTE_EJEMPLO,2020-04-09 15:30:00,127.5,food_dining,Comercio_10
CLIENTE_EJEMPLO,2020-04-12 17:30:00,146.0,home,Comercio_11
CLIENTE_EJEMPLO,2020-04-15 09:30:00,35.0,entertainment,Comercio_12
CLIENTE_EJEMPLO,2020-04-18 11:30:00,93.5,grocery_pos,Comercio_01
CLIENTE_EJEMPLO,2020-04-21 13:30:00,72.0,shopping_pos,Comercio_02
CLIENTE_EJEMPLO,2020-04-24 15:30:00,90.5,gas_transport,Comercio_03
CLIENTE_EJEMPLO,2020-04-27 17:30:00,109.0,food_dining,Comercio_04
